day,scheduled_arrival_station_code,flights,avg_difficulty,pct_difficult
2025-08-01,SUN,1,0.729723707664884,100.0
2025-08-01,SUX,1,0.6885026737967913,100.0
2025-08-01,ORF,2,0.6409759358288771,100.0
2025-08-01,HNL,1,0.6256684491978609,100.0
2025-08-01,MBJ,1,0.6137254901960784,100.0
2025-08-01,CRW,3,0.6032976827094474,66.66666666666666
2025-08-01,FCO,1,0.5995098039215686,100.0
2025-08-01,FAT,1,0.5982620320855614,100.0
2025-08-01,DSM,4,0.5904857397504456,100.0
2025-08-01,YUL,3,0.5897058823529412,66.66666666666666
2025-08-01,PUJ,1,0.5840909090909091,100.0
2025-08-01,LEX,4,0.5794117647058823,75.0
2025-08-01,CIU,1,0.5719251336898397,100.0
2025-08-01,ABQ,2,0.5683823529411764,50.0
2025-08-01,BOI,2,0.5608511586452762,50.0
2025-08-01,ROC,4,0.5531082887700535,75.0
2025-08-01,JAC,2,0.5520053475935829,50.0
2025-08-01,EGE,1,0.550891265597148,0.0
2025-08-01,ANC,2,0.5507575757575758,50.0
2025-08-01,FCA,2,0.549710338680927,0.0
2025-08-01,GSP,2,0.5460338680926916,50.0
2025-08-01,PNS,1,0.5439393939393938,0.0
2025-08-01,ELP,1,0.5424242424242425,0.0
2025-08-01,MSN,5,0.5374420677361854,60.0
2025-08-01,GEG,2,0.5368315508021391,50.0
2025-08-01,BUF,4,0.5352495543672013,75.0
2025-08-01,PIT,5,0.5306951871657754,40.0
2025-08-01,TVC,4,0.5271613190730838,50.0
2025-08-01,YVR,2,0.5267379679144385,0.0
2025-08-01,RAP,2,0.5227272727272727,50.0
2025-08-01,TUS,1,0.521969696969697,0.0
2025-08-01,ILM,1,0.5209447415329769,0.0
2025-08-01,MSP,7,0.5205118411000764,28.57142857142857
2025-08-01,DLH,3,0.5152852049910873,66.66666666666666
2025-08-01,YOW,3,0.5113339275103981,33.33333333333333
2025-08-01,MCO,5,0.5110160427807486,20.0
2025-08-01,SAV,3,0.5100564468211527,66.66666666666666
2025-08-01,CMH,7,0.5091418385536033,42.857142857142854
2025-08-01,YYC,2,0.5091354723707664,50.0
2025-08-01,CID,4,0.5089126559714795,25.0
2025-08-01,BIL,1,0.504812834224599,0.0
2025-08-01,YWG,2,0.5032085561497326,50.0
2025-08-01,PHX,4,0.5026849376114082,50.0
2025-08-01,MCI,6,0.5021464646464647,50.0
2025-08-01,LIT,3,0.502139037433155,66.66666666666666
2025-08-01,FSD,4,0.4980726381461676,50.0
2025-08-01,ATW,6,0.4954842543077837,33.33333333333333
2025-08-01,SDF,4,0.4949866310160428,50.0
2025-08-01,EDI,1,0.4945632798573975,0.0
2025-08-01,BNA,7,0.4943149987267634,14.285714285714285
2025-08-01,SAN,5,0.4928698752228164,40.0
2025-08-01,DFW,5,0.49154188948306593,60.0
2025-08-01,OMA,4,0.48931595365418895,25.0
2025-08-01,ONT,1,0.488903743315508,0.0
2025-08-01,CMX,3,0.48838383838383836,66.66666666666666
2025-08-01,TYS,3,0.4881907308377897,33.33333333333333
2025-08-01,RSW,3,0.48721033868092695,33.33333333333333
2025-08-01,ROA,3,0.48669043374925725,0.0
2025-08-01,CAK,4,0.48501559714795006,25.0
2025-08-01,MIA,2,0.4844919786096256,50.0
2025-08-01,SAT,3,0.4842988710635769,33.33333333333333
2025-08-01,OKC,4,0.4838569518716577,50.0
2025-08-01,PHL,5,0.48353832442067735,40.0
2025-08-01,ICT,4,0.48347816399286986,25.0
2025-08-01,FAR,4,0.48160650623885914,25.0
2025-08-01,CUN,2,0.47938948306595364,50.0
2025-08-01,DTW,7,0.47933537051184105,28.57142857142857
2025-08-01,SEA,6,0.4773024361259655,33.33333333333333
2025-08-01,PDX,5,0.47693404634581105,60.0
2025-08-01,IND,6,0.476010101010101,16.666666666666664
2025-08-01,SJU,2,0.47513368983957216,0.0
2025-08-01,BDL,4,0.47038770053475937,0.0
2025-08-01,LNK,4,0.4646501782531194,25.0
2025-08-01,AUS,3,0.4634284016636958,0.0
2025-08-01,BGR,2,0.4631016042780749,0.0
2025-08-01,LAX,11,0.4620118295251985,36.36363636363637
2025-08-01,YYZ,7,0.4619111280875986,14.285714285714285
2025-08-01,GRB,6,0.4618018419489008,33.33333333333333
2025-08-01,ALB,3,0.4611111111111111,33.33333333333333
2025-08-01,JAX,3,0.4606803327391562,33.33333333333333
2025-08-01,ABE,2,0.46013814616755794,50.0
2025-08-01,CVG,7,0.45950471097529927,14.285714285714285
